User,Recommendations,Mutuals Count
0,"38737, 18591, 27383, 34211, 1532, 12143, 12561, 17880, 22939, 25212","38737: 5, 18591: 4, 27383: 4, 34211: 4, 12143: 3, 12561: 3, 1532: 3, 17880: 3, 22939: 3, 25212: 3"
31,"29696, 29704, 29695, 29703, 29709, 29692, 29712, 41079, 27383, 29710","29696: 7, 29704: 7, 29695: 5, 29703: 5, 29709: 5, 29692: 4, 29712: 4, 41079: 4, 27383: 3, 29710: 3"
233,"95, 213, 240, 6935, 164, 17150, 19388, 20590, 33621, 38741","95: 7, 213: 5, 240: 4, 6935: 3, 164: 2, 17150: 2, 19388: 2, 20590: 2, 33621: 2, 38741: 2"
1234,"1230, 3895, 15186, 19211, 19427, 23202, 23690, 27549, 27609, 27736","1230: 3, 15186: 3, 19211: 3, 19427: 3, 23202: 3, 23690: 3, 27549: 3, 27609: 3, 27736: 3, 3895: 3"
7584,"7530, 7580, 7529, 7537, 7564, 7581, 7596, 7603, 5667, 5684","7530: 9, 7580: 7, 7529: 5, 7537: 5, 7564: 5, 7581: 5, 7596: 5, 7603: 5, 5667: 4, 5684: 4"
8675,"239, 16883, 16862, 15356, 16914, 16966, 17022, 17740, 16896, 16898","239: 17, 16883: 15, 16862: 11, 15356: 8, 16914: 8, 16966: 8, 17022: 8, 17740: 8, 16896: 7, 16898: 7"
18853,"15715, 18852, 11066, 11863, 11865, 12447, 12715, 13637, 13640, 13648","15715: 2, 18852: 2, 11066: 1, 11863: 1, 11865: 1, 12447: 1, 12715: 1, 13637: 1, 13640: 1, 13648: 1"
21212,"21184, 1230, 1357, 11005, 11190, 11707, 13106, 13223, 13279, 13423","21184: 2, 11005: 1, 11190: 1, 11707: 1, 1230: 1, 13106: 1, 13223: 1, 13279: 1, 13423: 1, 1357: 1"
36654,"36657, 36658, 12339, 12991, 22049, 24336, 28381, 30842, 30870, 30920","36657: 2, 36658: 2, 12339: 1, 12991: 1, 22049: 1, 24336: 1, 28381: 1, 30842: 1, 30870: 1, 30920: 1"
49998,"11377, 34439, 34450, 45133, 11383, 11385, 13852, 13863, 23510, 27555","11377: 4, 34439: 3, 34450: 3, 45133: 3, 11383: 2, 11385: 2, 13852: 2, 13863: 2, 23510: 2, 27555: 2"
